AARTIIND,405,525
ABB,4800,7200
ADANIENT,2280,2760
ADANIPORTS,1140,1620
ASHOKLEY,207.5,267.5
BAJAJ-AUTO,7700,10100
BAJFINANCE,8000,10400
BHARATFORG,1000,1480
BHARTIARTL,1600,2080
BPCL,260,380
BSE,1200,3600
BSOFT,300,540
CDSL,1220,1700
COALINDIA,340,460
COFORGE,7200,9600
CUMMINSIND,2350,3550
DIXON,12000,18000
DLF,650,890
DMART,3500,4700
ETERNAL,165,285
GAIL,160,220
GRASIM,2360,2840
HAL,4450,5650
HDFCAMC,4200,5400
HDFCBANK,1680,2160
HDFCLIFE,650,890
HINDALCO,540,780
INDIGO,4700,5900
INDHOTEL,640,880
INDUSINDBK,680,920
IRCTC,670,910
ITC,375,495
JINDALSTEL,720,1200
JIOFIN,220,340
JSWENERGY,380,620
JSWSTEEL,900,1140
LT,3000,4200
M&M,2450,3650
MARUTI,11100,13500
MUTHOOTFIN,1840,2320
NAUKRI,300,2700
NMDC,60,84
NTPC,280,400
ONGC,212.5,272.5
PFC,290,530
POLYCAB,4700,7100
RECLTD,280,520
RELIANCE,1300,1540
SBILIFE,1560,2040
SBIN,670,910
SHRIRAMFIN,540,780
SIEMENS,2100,4500
TATACHEM,640,1120
TATAMOTORS,600,840
TCS,2900,4100
TITAN,2950,4150
ULTRACEMCO,10200,12600
TRENT,4300,6700
VEDL,330,570
VOLTAS,1020,1500
