Ticker,Sector,Margin,Lot,StDif
360ONE,OTHERS,160250,500,20
ABB,OTHERS,160523,125,100
ABCAPITAL,OTHERS,185706,3100,2.5
ADANIENSOL,OTHERS,186962,675,20
ADANIENT,NIFTYMETAL,221043,300,20
ADANIGREEN,NIFTYENERGY,194321,600,20
ADANIPORTS,OTHERS,158402,475,20
ALKEM,NIFTYPHARMA,107373,125,50
AMBER,OTHERS,219955,100,100
AMBUJACEM,OTHERS,126637,1050,5
ANGELONE,OTHERS,223718,250,50
APLAPOLLO,NIFTYMETAL,121376,350,20
APOLLOHOSP,OTHERS,168386,125,50
ASHOKLEY,NIFTYAUTO,123441,2500,2.5
ASIANPAINT,OTHERS,108224,250,20
ASTRAL,OTHERS,118574,425,20
AUBANK,BANKNIFTY,169519,1000,5
AUROPHARMA,NIFTYPHARMA,124144,550,20
AXISBANK,BANKNIFTY,130372,625,10
BAJAJ-AUTO,NIFTYAUTO,113390,75,100
BAJAJFINSV,FINNIFTY,176361,500,20
BAJFINANCE,FINNIFTY,121600,750,10
BANDHANBNK,OTHERS,180433,3600,2.5
BANKBARODA,BANKNIFTY,150351,2925,2.5
BANKINDIA,OTHERS,141961,5200,1
BDL,OTHERS,185391,325,50
BEL,OTHERS,269305,2850,5
BHARATFORG,NIFTYAUTO,140537,500,20
BHARTIARTL,NIFTY,170568,475,20
BHEL,OTHERS,176884,2625,5
BIOCON,NIFTYPHARMA,209203,2500,5
BLUESTARCO,OTHERS,143688,325,20
BOSCHLTD,NIFTYAUTO,152702,25,250
BPCL,NIFTYENERGY,129480,1975,5
BRITANNIA,NIFTYFMCG,129050,125,50
BSE,OTHERS,531494,375,50
CAMS,OTHERS,155504,150,50
CANBK,BANKNIFTY,165643,6750,1
CDSL,OTHERS,230461,475,20
CGPOWER,OTHERS,137686,850,10
CHOLAFIN,FINNIFTY,210230,625,20
CIPLA,NIFTYPHARMA,100792,375,20
COALINDIA,NIFTYENERGY,95116,1350,5
COFORGE,NIFTYIT,166654,375,20
COLPAL,NIFTYFMCG,97989,225,20
CONCOR,OTHERS,167493,1250,10
CROMPTON,OTHERS,123075,1800,5
CUMMINSIND,OTHERS,141219,200,50
